Electrode Pair,Theoretical Bits,Actual Stable Bits,Retention (%),Noise (Dropped Bits)
1-2,8836,5196,58.8,3640
10-11,8836,6153,69.64,2683
11-12,8836,5755,65.13,3081
12-13,8836,5829,65.97,3007
13-14,8836,5022,56.84,3814
14-15,8836,5654,63.99,3182
15-16,8836,5597,63.34,3239
16-17,8836,4455,50.42,4381
17-18,8836,4370,49.46,4466
18-19,8836,5236,59.26,3600
19-20,8836,5826,65.93,3010
2-3,8836,6186,70.01,2650
20-21,8836,6028,68.22,2808
21-22,8836,6411,72.56,2425
22-23,8836,6082,68.83,2754
23-24,8836,5259,59.52,3577
24-25,8836,5346,60.5,3490
25-26,8836,4769,53.97,4067
26-27,8836,5695,64.45,3141
27-28,8836,5368,60.75,3468
28-29,8836,5150,58.28,3686
29-30,8836,5408,61.2,3428
3-4,8836,6334,71.68,2502
30-31,8836,5341,60.45,3495
31-32,8836,5899,66.76,2937
32-33,8836,4862,55.02,3974
33-34,8836,5639,63.82,3197
34-35,8836,5293,59.9,3543
35-36,8836,5424,61.39,3412
36-37,8836,5427,61.42,3409
37-38,8836,5459,61.78,3377
38-39,8836,5404,61.16,3432
39-40,8836,5543,62.73,3293
4-5,8836,6028,68.22,2808
40-41,8836,5499,62.23,3337
41-42,8836,5621,63.61,3215
42-43,8836,5523,62.51,3313
43-44,8836,5278,59.73,3558
44-45,8836,5494,62.18,3342
45-46,8836,5310,60.1,3526
46-47,8836,5482,62.04,3354
47-48,8836,5332,60.34,3504
48-49,8836,5497,62.21,3339
5-6,8836,5549,62.8,3287
6-7,8836,5854,66.25,2982
7-8,8836,5910,66.89,2926
8-9,8836,4796,54.28,4040
9-10,8836,4828,54.64,4008
