,"(1,2)-2","(2,3)-2","(3,4)-2","(4,5)-2","(5,6)-2","(6,7)-2","(7,8)-2","(8,9)-2","(9,10)-2","(10,11)-2","(11,12)-2","(12,13)-2","(13,14)-2","(14,15)-2","(15,16)-2","(16,17)-2","(17,18)-2","(18,19)-2","(19,20)-2","(20,21)-2","(21,22)-2","(22,23)-2","(23,24)-2","(24,25)-2","(25,26)-2","(26,27)-2","(27,28)-2","(28,29)-2","(29,30)-2","(30,31)-2","(31,32)-2","(32,33)-2","(33,34)-2","(34,35)-2","(35,36)-2","(36,37)-2","(37,38)-2","(38,39)-2","(39,40)-2","(40,41)-2","(41,42)-2","(42,43)-2","(43,44)-2","(44,45)-2","(45,46)-2","(46,47)-2","(47,48)-2","(48,49)-2"
"(1,2)-1",83.21,50.41,49.64,50.14,50.11,50.18,49.71,48.89,49.80,49.66,50.41,50.07,49.43,49.64,49.75,50.86,49.86,50.93,50.05,50.00,50.86,49.43,49.86,50.43,48.80,49.77,49.82,50.34,50.11,49.68,50.11,50.00,49.52,50.02,50.05,49.16,51.06,49.86,50.09,50.54,50.20,50.05,51.09,50.54,49.68,50.23,49.50,49.37
"(2,3)-1",50.86,87.80,49.00,50.57,49.73,49.93,49.32,49.34,50.63,51.02,50.52,48.91,48.73,49.68,49.93,50.23,50.00,50.32,49.14,50.34,50.36,50.29,50.77,49.95,50.48,49.73,49.89,49.77,50.93,50.43,49.93,49.68,50.14,49.91,50.29,50.07,49.37,50.57,48.80,49.62,50.36,50.25,50.20,50.95,50.00,49.50,50.09,49.57
"(3,4)-1",49.16,50.09,88.75,50.48,49.98,49.23,49.64,50.59,50.09,50.25,50.79,49.84,49.55,50.18,50.14,50.79,49.86,50.00,49.23,50.07,49.98,49.66,50.14,50.20,49.91,49.55,49.71,50.32,49.68,49.37,49.91,49.00,50.48,49.46,50.29,49.82,49.93,50.68,49.75,50.61,50.75,49.43,49.43,51.02,49.95,50.25,49.80,49.39
"(4,5)-1",50.14,50.38,50.50,87.12,50.97,49.19,49.84,50.43,49.86,51.31,49.50,49.77,50.43,50.25,50.59,51.06,50.00,50.02,50.52,50.14,50.43,49.68,49.84,49.84,49.25,50.09,50.63,49.62,49.64,49.30,49.75,49.95,49.84,49.12,49.86,49.84,49.80,49.80,50.45,49.71,50.34,49.64,50.05,50.91,50.18,49.84,50.75,50.00
"(5,6)-1",49.66,49.64,50.75,50.11,84.59,50.20,49.84,50.77,50.18,51.58,49.25,49.52,50.16,50.20,50.57,49.43,49.50,51.40,49.03,49.77,49.37,49.39,49.57,49.84,49.86,50.02,49.59,50.05,49.57,49.82,49.50,49.86,49.66,50.05,51.04,49.48,49.71,50.16,48.89,49.86,49.59,50.29,50.34,49.71,50.43,49.66,50.23,50.11
"(6,7)-1",49.39,48.51,50.11,49.73,50.25,86.24,49.48,50.16,50.84,49.84,50.23,50.36,50.11,50.02,50.29,50.07,49.48,49.89,50.25,50.23,51.11,50.66,50.38,50.81,50.05,50.43,49.73,49.57,49.50,49.64,50.14,50.32,50.27,50.36,50.29,48.82,48.96,50.25,49.50,50.16,50.00,49.28,50.50,49.82,49.66,49.84,49.43,50.05
"(7,8)-1",50.14,49.95,48.57,49.98,50.38,49.46,86.67,50.20,51.00,50.75,49.14,49.55,50.63,49.19,50.05,49.68,50.14,49.66,50.25,49.64,48.91,50.86,49.55,50.57,50.09,49.55,50.09,49.93,50.09,49.68,50.23,49.28,49.52,49.46,49.95,49.32,49.32,49.30,51.29,49.68,49.89,49.62,50.14,49.75,50.29,50.72,49.68,49.25
"(8,9)-1",49.05,48.71,49.59,49.86,49.68,50.23,50.52,81.01,48.82,49.71,49.77,48.89,50.32,50.00,48.91,50.97,49.80,49.80,50.27,50.23,50.43,48.62,49.55,50.27,50.68,49.77,48.55,50.29,50.25,51.13,49.50,50.00,49.48,49.52,49.37,48.66,49.48,50.18,49.09,49.46,50.29,49.77,50.16,49.95,50.00,49.32,49.46,50.05
"(9,10)-1",50.14,50.23,50.05,49.25,49.86,49.75,50.84,49.48,81.58,50.05,49.95,49.68,50.48,50.36,49.50,49.80,50.59,50.34,49.68,51.47,49.03,49.48,50.00,50.29,50.02,50.00,50.14,49.05,50.09,50.50,50.20,50.36,50.45,50.48,50.61,50.11,49.75,49.71,50.45,50.18,49.98,49.86,50.63,49.71,50.00,50.48,50.36,48.78
"(10,11)-1",49.52,50.05,49.84,50.29,51.27,49.98,50.52,49.66,50.14,87.87,49.73,49.82,50.41,50.48,51.11,49.89,49.64,48.85,50.57,49.46,48.98,49.41,49.46,50.45,50.48,49.30,49.16,50.29,50.07,49.80,50.70,49.77,49.68,50.29,49.82,50.07,50.25,50.32,49.93,50.52,49.12,51.09,49.32,49.77,49.16,49.46,49.39,49.55
