Electrode_Pair,Comparison,BER_Fraction
1-2,M1 vs M2,0.16794929832503394
1-2,M1 vs M3,0.17451335445903124
1-2,M1 vs M4,0.1733816206428248
1-2,M1 vs M5,0.16772295156179268
1-2,M1 vs M6,0.16681756450882754
1-2,M1 vs M7,0.16908103214124037
1-2,M1 vs M8,0.17089180624717065
10-11,M1 vs M2,0.1213218650973291
10-11,M1 vs M3,0.1197374377546401
10-11,M1 vs M4,0.11883205070167496
10-11,M1 vs M5,0.12698053417836125
10-11,M1 vs M6,0.12381167949298325
10-11,M1 vs M7,0.1199637845178814
10-11,M1 vs M8,0.12449071978270711
11-12,M1 vs M2,0.13150746944318698
11-12,M1 vs M3,0.12381167949298325
11-12,M1 vs M4,0.12743322770484383
11-12,M1 vs M5,0.12811226799456768
11-12,M1 vs M6,0.13309189678587596
11-12,M1 vs M7,0.1292440018107741
11-12,M1 vs M8,0.16794929832503394
12-13,M1 vs M2,0.13558171118153012
12-13,M1 vs M3,0.14667270258035311
12-13,M1 vs M4,0.14282480760525124
12-13,M1 vs M5,0.1480307831598008
12-13,M1 vs M6,0.14010864644635582
12-13,M1 vs M7,0.1498415572657311
12-13,M1 vs M8,0.14305115436849253
13-14,M1 vs M2,0.15255771842462654
13-14,M1 vs M3,0.15255771842462654
13-14,M1 vs M4,0.15006790402897238
13-14,M1 vs M5,0.1511996378451788
13-14,M1 vs M6,0.1514259846084201
13-14,M1 vs M7,0.1702127659574468
13-14,M1 vs M8,0.22317790855590766
14-15,M1 vs M2,0.17179719330013582
14-15,M1 vs M3,0.16523313716613852
14-15,M1 vs M4,0.16749660479855139
14-15,M1 vs M5,0.17202354006337708
14-15,M1 vs M6,0.16772295156179268
14-15,M1 vs M7,0.17609778180172023
14-15,M1 vs M8,0.1672702580353101
15-16,M1 vs M2,0.1767768220914441
15-16,M1 vs M3,0.1749660479855138
15-16,M1 vs M4,0.17451335445903124
15-16,M1 vs M5,0.18175645088275239
15-16,M1 vs M6,0.1844726120416478
15-16,M1 vs M7,0.1842462652784065
15-16,M1 vs M8,0.19330013580805794
16-17,M1 vs M2,0.21570846536894522
16-17,M1 vs M3,0.2143503847894975
16-17,M1 vs M4,0.21321865097329107
16-17,M1 vs M5,0.20212765957446807
16-17,M1 vs M6,0.2161611588954278
16-17,M1 vs M7,0.19805341783612496
16-17,M1 vs M8,0.20076957899502038
17-18,M1 vs M2,0.2064282480760525
17-18,M1 vs M3,0.2032593933906745
17-18,M1 vs M4,0.21208691715708466
17-18,M1 vs M5,0.21502942507922138
17-18,M1 vs M6,0.21706654594839295
17-18,M1 vs M7,0.2127659574468085
17-18,M1 vs M8,0.21548211860570393
18-19,M1 vs M2,0.1702127659574468
18-19,M1 vs M3,0.1591217745586238
18-19,M1 vs M4,0.16930737890448166
18-19,M1 vs M5,0.16047985513807153
18-19,M1 vs M6,0.17089180624717065
18-19,M1 vs M7,0.16659121774558625
18-19,M1 vs M8,0.16772295156179268
19-20,M1 vs M2,0.1344499773653237
19-20,M1 vs M3,0.13512901765504753
19-20,M1 vs M4,0.14576731552738795
19-20,M1 vs M5,0.13897691263014939
19-20,M1 vs M6,0.14916251697600724
19-20,M1 vs M7,0.1448619284744228
19-20,M1 vs M8,0.14101403349932096
2-3,M1 vs M2,0.12200090538705297
2-3,M1 vs M3,0.11951109099139882
2-3,M1 vs M4,0.12019013128112269
2-3,M1 vs M5,0.12267994567677683
2-3,M1 vs M6,0.11951109099139882
2-3,M1 vs M7,0.12879130828429153
2-3,M1 vs M8,0.12720688094160254
20-21,M1 vs M2,0.14078768673607966
20-21,M1 vs M3,0.1344499773653237
20-21,M1 vs M4,0.13241285649615211
20-21,M1 vs M5,0.1306020823902218
20-21,M1 vs M6,0.1276595744680851
20-21,M1 vs M7,0.1231326392032594
20-21,M1 vs M8,0.12698053417836125
21-22,M1 vs M2,0.11407876867360797
21-22,M1 vs M3,0.10774105930285197
21-22,M1 vs M4,0.11611588954277954
21-22,M1 vs M5,0.10796740606609326
21-22,M1 vs M6,0.1088727931190584
21-22,M1 vs M7,0.10955183340878226
21-22,M1 vs M8,0.11339972838388411
22-23,M1 vs M2,0.11679492983250339
22-23,M1 vs M3,0.12381167949298325
22-23,M1 vs M4,0.1213218650973291
22-23,M1 vs M5,0.12516976007243097
22-23,M1 vs M6,0.12901765504753282
22-23,M1 vs M7,0.13014938886373925
22-23,M1 vs M8,0.13309189678587596
23-24,M1 vs M2,0.1609325486645541
23-24,M1 vs M3,0.15844273426889996
