,3-4,4-5,5-6,6-7,8-9,11-12,13-14,18-19,19-20,21-22,22-23,25-26,26-27,27-28,28-29,35-36,36-37,38-39,41-42,42-43,43-44,44-45,47-48,48-49
3-4,100.0,50.040600000000005,49.996399999999994,49.970099999999995,50.0312,50.0068,50.005300000000005,49.9908,50.06550000000001,50.02770000000001,50.006400000000006,49.9521,50.0739,49.961800000000004,50.029,49.984700000000004,50.0443,49.984899999999996,49.9086,49.944500000000005,50.0159,50.050200000000004,49.9264,50.057700000000004
4-5,50.040600000000005,100.0,49.934599999999996,49.9481,50.071200000000005,49.986799999999995,50.0015,50.017,50.0197,50.0563,49.925399999999996,49.948899999999995,50.01709999999999,49.998,50.0566,49.9727,49.9597,49.9931,50.03500000000001,50.00370000000001,50.080499999999994,50.1112,49.9684,50.0139
5-6,49.996399999999994,49.934599999999996,100.0,49.954100000000004,50.04580000000001,50.005,49.93450000000001,50.096399999999996,50.0259,49.9497,50.0274,50.03530000000001,49.95230000000001,49.99940000000001,49.96699999999999,49.9737,50.0119,50.027100000000004,50.0298,50.04489999999999,49.9965,50.065599999999996,49.99940000000001,49.961299999999994
6-7,49.970099999999995,49.9481,49.954100000000004,100.0,50.05649999999999,50.033300000000004,49.97200000000001,49.9981,50.0266,50.19519999999999,49.974700000000006,49.986399999999996,50.06360000000001,50.0197,49.9699,50.00599999999999,49.995599999999996,49.9822,49.9447,49.9812,50.065000000000005,50.134299999999996,49.984300000000005,50.0572
8-9,50.0312,50.071200000000005,50.04580000000001,50.05649999999999,100.0,49.988,49.9601,50.031800000000004,50.0309,50.0355,50.02340000000001,49.9869,50.0321,49.9904,49.992999999999995,49.8943,50.0221,50.010299999999994,50.055800000000005,49.9953,50.0049,50.0678,50.102599999999995,50.01070000000001
11-12,50.0068,49.986799999999995,50.005,50.033300000000004,49.988,100.0,49.89209999999999,50.05159999999999,49.908300000000004,49.9977,50.114599999999996,50.0013,49.9779,49.955000000000005,50.0428,49.9953,49.90989999999999,49.993900000000004,49.967600000000004,49.978699999999996,50.0251,49.9808,49.90560000000001,50.0013
13-14,50.005300000000005,50.0015,49.93450000000001,49.97200000000001,49.9601,49.89209999999999,100.0,49.954299999999996,50.0664,49.9452,49.9347,50.010200000000005,49.9688,50.042500000000004,50.0895,50.014399999999995,49.9746,49.9794,49.9795,50.002199999999995,49.9712,50.1185,50.0239,50.0014
18-19,49.9908,50.017,50.096399999999996,49.9981,50.031800000000004,50.05159999999999,49.954299999999996,100.0,50.0193,49.9737,50.0618,49.9621,49.9241,50.0378,49.956199999999995,50.0025,50.01709999999999,49.875899999999994,49.9358,50.033100000000005,50.058099999999996,49.9516,49.9752,49.9741
19-20,50.06550000000001,50.0197,50.0259,50.0266,50.0309,49.908300000000004,50.0664,50.0193,100.0,50.0378,50.0337,50.0618,49.9694,50.0019,49.9885,49.951,50.00560000000001,50.10680000000001,49.9753,49.881600000000006,49.9386,50.0433,49.9155,50.0004
21-22,50.02770000000001,50.0563,49.9497,50.19519999999999,50.0355,49.9977,49.9452,49.9737,50.0378,100.0,50.0367,49.995999999999995,50.0562,50.0363,50.0057,50.0092,49.887,50.01979999999999,49.9517,50.082800000000006,49.96620000000001,49.988699999999994,49.964299999999994,50.0532
22-23,50.006400000000006,49.925399999999996,50.0274,49.974700000000006,50.02340000000001,50.114599999999996,49.9347,50.0618,50.0337,50.0367,100.0,49.95270000000001,49.9893,50.019999999999996,50.045399999999994,50.006499999999996,49.93149999999999,49.990100000000005,49.9756,50.01990000000001,50.08250000000001,49.980000000000004,49.8788,49.96469999999999
25-26,49.9521,49.948899999999995,50.03530000000001,49.986399999999996,49.9869,50.0013,50.010200000000005,49.9621,50.0618,49.995999999999995,49.95270000000001,100.0,50.0068,50.033100000000005,49.96810000000001,49.9476,50.052600000000005,49.986799999999995,49.9549,50.0264,49.924800000000005,49.948499999999996,49.948899999999995,50.019999999999996
26-27,50.0739,50.01709999999999,49.95230000000001,50.06360000000001,50.0321,49.9779,49.9688,49.9241,49.9694,50.0562,49.9893,50.0068,100.0,50.0173,49.960899999999995,50.0294,49.961,49.989,49.9193,50.0284,49.956,49.9931,50.03530000000001,49.9472
27-28,49.961800000000004,49.998,49.99940000000001,50.0197,49.9904,49.955000000000005,50.042500000000004,50.0378,50.0019,50.0363,50.019999999999996,50.033100000000005,50.0173,100.0,50.0796,50.0119,49.9601,49.9593,50.0042,49.9725,49.9317,49.994400000000006,49.9688,49.9499
28-29,50.029,50.0566,49.96699999999999,49.9699,49.992999999999995,50.0428,50.0895,49.956199999999995,49.9885,50.0057,50.045399999999994,49.96810000000001,49.960899999999995,50.0796,100.0,50.0189,50.0105,49.969699999999996,50.0104,49.8807,49.9209,50.020599999999995,49.986,49.9711
35-36,49.984700000000004,49.9727,49.9737,50.00599999999999,49.8943,49.9953,50.014399999999995,50.0025,49.951,50.0092,50.006499999999996,49.9476,50.0294,50.0119,50.0189,100.0,50.1054,49.998,50.0961,49.932,49.9932,49.930699999999995,50.0399,50.059
36-37,50.0443,49.9597,50.0119,49.995599999999996,50.0221,49.90989999999999,49.9746,50.01709999999999,50.00560000000001,49.887,49.93149999999999,50.052600000000005,49.961,49.9601,50.0105,50.1054,100.0,49.9946,50.0371,50.013,50.03040000000001,49.933499999999995,50.065099999999994,49.958000000000006
38-39,49.984899999999996,49.9931,50.027100000000004,49.9822,50.010299999999994,49.993900000000004,49.9794,49.875899999999994,50.10680000000001,50.01979999999999,49.990100000000005,49.986799999999995,49.989,49.9593,49.969699999999996,49.998,49.9946,100.0,50.0413,50.0066,50.0008,50.0051,50.0245,49.9598
41-42,49.9086,50.03500000000001,50.0298,49.9447,50.055800000000005,49.967600000000004,49.9795,49.9358,49.9753,49.9517,49.9756,49.9549,49.9193,50.0042,50.0104,50.0961,50.0371,50.0413,100.0,49.9833,50.073100000000004,49.9812,49.956999999999994,49.9795
42-43,49.944500000000005,50.00370000000001,50.04489999999999,49.9812,49.9953,49.978699999999996,50.002199999999995,50.033100000000005,49.881600000000006,50.082800000000006,50.01990000000001,50.0264,50.0284,49.9725,49.8807,49.932,50.013,50.0066,49.9833,100.0,50.1072,49.9865,50.017500000000005,49.931000000000004
43-44,50.0159,50.080499999999994,49.9965,50.065000000000005,50.0049,50.0251,49.9712,50.058099999999996,49.9386,49.96620000000001,50.08250000000001,49.924800000000005,49.956,49.9317,49.9209,49.9932,50.03040000000001,50.0008,50.073100000000004,50.1072,100.0,49.9737,49.929100000000005,50.109399999999994
44-45,50.050200000000004,50.1112,50.065599999999996,50.134299999999996,50.0678,49.9808,50.1185,49.9516,50.0433,49.988699999999994,49.980000000000004,49.948499999999996,49.9931,49.994400000000006,50.020599999999995,49.930699999999995,49.933499999999995,50.0051,49.9812,49.9865,49.9737,100.0,49.9552,49.9971
47-48,49.9264,49.9684,49.99940000000001,49.984300000000005,50.102599999999995,49.90560000000001,50.0239,49.9752,49.9155,49.964299999999994,49.8788,49.948899999999995,50.03530000000001,49.9688,49.986,50.0399,50.065099999999994,50.0245,49.956999999999994,50.017500000000005,49.929100000000005,49.9552,100.0,49.9595
48-49,50.057700000000004,50.0139,49.961299999999994,50.0572,50.01070000000001,50.0013,50.0014,49.9741,50.0004,50.0532,49.96469999999999,50.019999999999996,49.9472,49.9499,49.9711,50.059,49.958000000000006,49.9598,49.9795,49.931000000000004,50.109399999999994,49.9971,49.9595,100.0
